Current sim time, airport, event name, airplane id, runway queue size, gate queue size, baggage cart queue size, fuel truck queue size
178.635722, Airport4, LoadLuggage, 2.4, 0, 4, 1, 0, 
180.717315, Airport4, Taxi2Gate, 2.9, 0, 4, 1, 0, 
182.237808, Airport4, ReleaseFuelTruck, 2.4, 0, 4, 1, 0, 
182.237808, Airport4, LeaveGate, 2.4, 0, 4, 1, 0, 
183.801085, Airport4, StartEmbark, 2.3, 0, 4, 1, 0, 
184.709728, Airport4, AcquireGate, 2.9, 0, 4, 1, 0, 
186.335016, Airport4, ReleaseFuelTruck, 2.3, 0, 5, 1, 0, 
186.335016, Airport4, LeaveGate, 2.3, 0, 5, 1, 0, 
190.489988, Airport4, ReleaseLuggageCart, 1.1, 0, 5, 1, 0, 
190.489988, Airport4, UnloadLuggage, 2.3, 0, 5, 0, 0, 
190.489988, Airport4, LeaveGate, 1.1, 0, 5, 0, 0, 
190.489988, Airport4, DockAtGate, 1.2, 0, 4, 0, 0, 
190.772496, Airport4, LeaveGate, 2.4, 0, 4, 0, 0, 
192.655685, Airport4, Taxi2RunwayEA, 1.1, 0, 4, 0, 0, 
193.189800, Airport4, ArriveGate, 1.2, 0, 4, 0, 0, 
193.189800, Airport4, FuelPlane, 1.2, 0, 4, 1, 0, 
194.374305, Airport4, ReleaseLuggageCart, 2.4, 0, 4, 1, 0, 
194.374305, Airport4, UnloadLuggage, 1.2, 0, 4, 0, 0, 
194.374305, Airport4, LeaveGate, 2.4, 0, 4, 0, 0, 
194.374305, Airport4, DockAtGate, 2.6, 0, 3, 0, 0, 
195.620561, Airport4, AcquireRunwayLand, 1.5, 0, 3, 0, 0, 
195.620561, Airport4, Land, 1.5, 0, 3, 0, 0, 
196.177438, Airport4, ArriveGate, 2.6, 0, 3, 0, 0, 
196.177438, Airport4, FuelPlane, 2.6, 0, 3, 1, 0, 
196.274285, Airport4, Taxi2RunwayEA, 2.4, 0, 3, 1, 0, 
196.469546, Airport4, LeaveGate, 2.3, 0, 3, 1, 0, 
196.959271, Airport4, AcquireRunwayTakeoff, 1.1, 0, 3, 1, 0, 
196.959271, Airport4, Takeoff, 1.1, 0, 3, 1, 0, 
